datetime,actual,predicted
2025-04-01 03:47:00,1327.8,1451.6522
2025-04-01 03:48:00,1405.6,1553.0399
2025-04-01 03:49:00,1305.0,1693.2808
2025-04-01 03:50:00,1401.9,1487.3989
2025-04-01 03:51:00,1401.9,1558.3163
2025-04-01 03:52:00,1401.9,1676.8849
2025-04-01 03:53:00,1401.9,1429.8711
2025-04-01 03:54:00,1315.8,1600.2195
2025-04-01 03:55:00,1335.55,1354.8835
2025-04-01 03:56:00,1335.55,1520.1561
2025-04-01 03:57:00,1335.55,1524.9467
2025-04-01 03:58:00,1418.3,1568.0227
2025-04-01 03:59:00,1418.3,1646.4622
2025-04-01 04:00:00,1363.7,1508.1816
2025-04-01 04:01:00,1363.7,1360.0295
2025-04-01 04:02:00,1420.0,1501.5823
2025-04-01 04:03:00,1420.0,1517.3734
2025-04-01 04:04:00,1326.8,1591.1753
2025-04-01 04:05:00,1344.3,1440.1426
2025-04-01 04:06:00,1322.4,1407.9008
2025-04-01 04:07:00,1322.4,1348.9679
2025-04-01 04:08:00,1406.3,1356.2823
2025-04-01 04:09:00,1406.3,1371.1917
2025-04-01 04:10:00,1337.35,1310.3507
2025-04-01 04:11:00,1337.35,1356.4034
2025-04-01 04:12:00,1337.35,1366.7837
2025-04-01 04:13:00,1337.35,1304.7788
2025-04-01 04:14:00,1479.4,1447.3345
2025-04-01 04:15:00,1406.7,1484.1329
2025-04-01 04:16:00,1406.7,1530.2096
2025-04-01 04:17:00,1406.7,1582.8003
2025-04-01 04:18:00,1472.5,1553.8512
2025-04-01 04:19:00,1396.5,1551.2021
2025-04-01 04:20:00,1416.5,1469.1603
2025-04-01 04:21:00,1416.5,1315.5331
2025-04-01 04:22:00,1416.5,1308.163
2025-04-01 04:23:00,1489.9,1391.4122
2025-04-01 04:24:00,1329.4,1503.3499
2025-04-01 04:25:00,1381.1,1312.6124
2025-04-01 04:26:00,1381.1,1361.5941
2025-04-01 04:27:00,1381.1,1402.3286
2025-04-01 04:28:00,1391.5,1526.5573
2025-04-01 04:29:00,1321.5,1489.616
2025-04-01 04:30:00,1364.4,1371.6681
2025-04-01 04:31:00,1364.4,1383.403
2025-04-01 04:32:00,1324.0,1428.6178
2025-04-01 04:33:00,1390.9,1515.3639
2025-04-01 04:34:00,1390.9,1601.6841
2025-04-01 04:35:00,1337.7,1536.4147
2025-04-01 04:36:00,1411.9,1512.3961
2025-04-01 04:37:00,1411.9,1463.4897
2025-04-01 04:38:00,1411.9,1417.522
2025-04-01 04:39:00,1319.6,1356.4374
2025-04-01 04:40:00,1372.9,1335.4865
2025-04-01 04:41:00,1322.4,1351.4113
2025-04-01 04:42:00,1432.4,1453.7435
2025-04-01 04:43:00,1432.4,1564.0806
2025-04-01 04:44:00,1432.4,1519.6029
2025-04-01 04:45:00,1337.0,1543.1122
2025-04-01 04:46:00,1337.0,1407.0149
2025-04-01 04:47:00,1321.6,1401.753
2025-04-01 04:48:00,1321.6,1379.4872
2025-04-01 04:49:00,1424.4,1411.9353
2025-04-01 04:50:00,1330.9,1373.8363
2025-04-01 04:51:00,1330.9,1290.7078
2025-04-01 04:52:00,1330.9,1372.9185
2025-04-01 04:53:00,1406.5,1406.3257
2025-04-01 04:54:00,1406.5,1426.6239
2025-04-01 04:55:00,1329.2,1409.2222
2025-04-01 04:56:00,1329.2,1361.3396
2025-04-01 04:57:00,1472.0,1429.6294
2025-04-01 04:58:00,1472.0,1497.4232
2025-04-01 04:59:00,1472.0,1575.0663
2025-04-01 05:00:00,1429.4499999999998,1543.9287
2025-04-01 05:01:00,1429.4499999999998,1497.4191
2025-04-01 05:02:00,1395.0,1474.2628
2025-04-01 05:03:00,1395.0,1471.706
2025-04-01 05:04:00,1395.0,1458.6063
2025-04-01 05:05:00,1428.05,1422.8499
2025-04-01 05:06:00,1428.05,1388.883
2025-04-01 05:07:00,1428.05,1497.4462
2025-04-01 05:08:00,1428.05,1497.4855
2025-04-01 05:09:00,1327.5,1681.673
2025-04-01 05:10:00,1344.6,1493.996
2025-04-01 05:11:00,1412.3,1468.5143
2025-04-01 05:12:00,1412.3,1489.4476
2025-04-01 05:13:00,1323.6,1629.3933
2025-04-01 05:14:00,1323.6,1610.2346
2025-04-01 05:15:00,1369.85,1599.0729
2025-04-01 05:16:00,1369.85,1507.3694
2025-04-01 05:17:00,1322.3,1570.7338
2025-04-01 05:18:00,1322.3,1432.2083
2025-04-01 05:19:00,1322.3,1355.314
2025-04-01 05:20:00,1329.85,1403.6578
2025-04-01 05:21:00,1329.85,1492.7775
2025-04-01 05:22:00,1329.85,1564.157
2025-04-01 05:23:00,1402.5,1431.3373
2025-04-01 05:24:00,1402.5,1574.4269
2025-04-01 05:25:00,1328.1,1547.434
2025-04-01 05:26:00,1328.1,1447.8501
2025-04-01 05:27:00,1394.0,1471.5284
2025-04-01 05:28:00,1394.0,1467.6555
2025-04-01 05:29:00,1394.0,1478.2329
2025-04-01 05:30:00,1368.5,1507.5348
2025-04-01 05:31:00,1368.5,1443.3036
2025-04-01 05:32:00,1319.6,1457.2336
2025-04-01 05:33:00,1319.6,1364.5674
2025-04-01 05:34:00,1319.6,1306.0077
2025-04-01 05:35:00,1337.8,1447.1189
2025-04-01 05:36:00,1337.8,1465.4955
2025-04-01 05:37:00,1326.3,1417.2903
2025-04-01 05:38:00,2922.8,1374.6003
2025-04-01 05:39:00,2922.8,2235.8308
2025-04-01 05:40:00,1413.3,2261.0
2025-04-01 05:41:00,1504.1,1400.0126
2025-04-01 05:42:00,1504.1,1374.6008
2025-04-01 05:43:00,1504.1,1411.5527
2025-04-01 05:44:00,1391.0,1616.2632
2025-04-01 05:45:00,1393.7,1417.9972
2025-04-01 05:46:00,1393.7,1453.4954
2025-04-01 05:47:00,1393.7,1354.832
2025-04-01 05:48:00,1478.5,1449.6938
2025-04-01 05:49:00,1324.9,1525.1132
2025-04-01 05:50:00,1334.1,1570.6224
2025-04-01 05:51:00,1334.1,1468.849
2025-04-01 05:52:00,1334.1,1525.4745
2025-04-01 05:53:00,1334.1,1647.6017
2025-04-01 05:54:00,1358.75,1658.1232
2025-04-01 05:55:00,1327.3,1475.6385
2025-04-01 05:56:00,1327.3,1487.0558
2025-04-01 05:57:00,1327.3,1522.5029
2025-04-01 05:58:00,1398.5,1600.4364
2025-04-01 05:59:00,1314.4,1527.6216
2025-04-01 06:00:00,1360.7,1597.3119
2025-04-01 06:01:00,1315.9,1656.5975
2025-04-01 06:02:00,1315.9,1627.6803
2025-04-01 06:03:00,1315.9,1448.0547
2025-04-01 06:04:00,1315.9,1611.8204
2025-04-01 06:05:00,1337.0,1466.1954
2025-04-01 06:06:00,1313.3,1476.7516
2025-04-01 06:07:00,1313.3,1468.7994
2025-04-01 06:08:00,1313.3,1405.0594
2025-04-01 06:09:00,1377.5,1481.5709
2025-04-01 06:10:00,1334.0,1499.2693
2025-04-01 06:11:00,1334.0,1411.2174
2025-04-01 06:12:00,1334.0,1448.4048
2025-04-01 06:13:00,1411.3,1340.0883
