datetime,predicted,actual,predicted_smoothed
2025-04-07 12:40:00,1803.109,1972.6,1863.8276
2025-04-07 12:45:00,1850.3713,1947.3,1857.0995
2025-04-07 12:50:00,1887.5278,1902.8,1872.3137
2025-04-07 12:55:00,1979.1107,1827.55,1925.7122
2025-04-07 13:00:00,2155.5134,1895.6,2040.6128
2025-04-07 13:05:00,1963.7958,1866.55,2002.2043
2025-04-07 13:10:00,1993.678,1753.7,1997.9412
2025-04-07 13:15:00,1962.8534,1759.9,1980.3972
2025-04-07 13:20:00,1844.5206,1723.7,1912.459
2025-04-07 13:25:00,1908.7773,1726.15,1910.6182
2025-04-07 13:30:00,1874.3827,1724.9,1892.5005
2025-04-07 13:35:00,2008.3835,1701.4,1950.442
2025-04-07 13:40:00,1985.291,1758.55,1967.8665
2025-04-07 13:45:00,2571.2307,1967.75,2269.5486
2025-04-07 13:50:00,2354.0215,2035.8,2311.7852
2025-04-07 13:55:00,2224.4272,2130.85,2268.1062
2025-04-07 14:00:00,2051.4788,2195.7,2159.7925
2025-04-07 14:05:00,2168.717,2102.1,2164.255
2025-04-07 14:10:00,2399.0378,2213.6,2281.6465
2025-04-07 14:15:00,2236.2576,2116.85,2258.9521
2025-04-07 14:20:00,2408.0237,2160.05,2333.4878
2025-04-07 14:25:00,2507.8552,2325.8500000000004,2420.6714
2025-04-07 14:30:00,2680.549,2413.75,2550.6104
2025-04-07 14:35:00,2577.1013,2555.7,2563.856
2025-04-07 14:40:00,2654.9397,2847.85,2609.398
2025-04-07 14:45:00,2632.9363,2745.55,2621.167
2025-04-07 14:50:00,2785.943,2856.3,2703.5552
2025-04-07 14:55:00,2661.5483,2821.3,2682.5518
2025-04-07 15:00:00,2677.7678,2993.5,2680.1597
2025-04-07 15:05:00,2700.2532,2791.55,2690.2065
2025-04-07 15:10:00,2930.3936,2998.8,2810.3
2025-04-07 15:15:00,3417.745,3027.4,3114.0225
2025-04-07 15:20:00,2641.5366,2956.05,2877.7795
2025-04-07 15:25:00,2732.6787,2768.5,2805.229
2025-04-07 15:30:00,2652.3484,2718.15,2728.7886
2025-04-07 15:35:00,2675.0005,2675.8,2701.8945
2025-04-07 15:40:00,2635.5613,2792.6000000000004,2668.728
2025-04-07 15:45:00,2711.943,2624.4,2690.3354
2025-04-07 15:50:00,2622.9363,2631.0,2656.6357
2025-04-07 15:55:00,2744.12,2585.4,2700.378
2025-04-07 16:00:00,2730.505,2996.7,2715.4414
2025-04-07 16:05:00,2768.3499,3564.9,2741.8955
2025-04-07 16:10:00,2680.5366,2757.4,2711.216
2025-04-07 16:15:00,2577.8687,2768.4,2644.5425
2025-04-07 16:20:00,2557.5159,2782.0,2601.0293
2025-04-07 16:25:00,2537.9705,2718.2,2569.5
2025-04-07 16:30:00,2571.7798,2783.8,2570.64
2025-04-07 16:35:00,2600.2837,2641.1,2585.462
2025-04-07 16:40:00,2654.7378,2794.95,2620.0999
2025-04-07 16:45:00,2605.2449,2719.9,2612.6724
2025-04-07 16:50:00,2606.2378,2529.45,2609.455
2025-04-07 16:55:00,2530.537,2645.6,2569.996
2025-04-07 17:00:00,2499.642,2663.0,2534.819
2025-04-07 17:05:00,2441.0771,2505.8,2487.9482
2025-04-07 17:10:00,2509.8909,2569.9,2498.9194
2025-04-07 17:15:00,2440.9287,2708.1,2469.924
2025-04-07 17:20:00,2543.143,2576.15,2506.5337
2025-04-07 17:25:00,2537.8516,2508.1,2522.1926
2025-04-07 17:30:00,2570.8706,2592.8,2546.5317
2025-04-07 17:35:00,2431.8784,2455.55,2489.205
2025-04-07 17:40:00,2343.0156,2291.15,2416.1104
2025-04-07 17:45:00,2094.2898,2191.7333333333336,2255.2002
2025-04-07 17:50:00,2277.0557,2221.0,2266.128
2025-04-07 17:55:00,2169.585,2107.5,2217.8564
2025-04-07 18:00:00,2240.2373,2193.6,2229.0469
2025-04-07 18:05:00,1921.2502,1903.5,2075.1484
2025-04-07 18:10:00,2109.939,1967.7,2092.5437
2025-04-07 18:15:00,1991.5354,2379.4333333333334,2042.0396
2025-04-07 18:20:00,2310.729,1989.6,2176.3843
2025-04-07 18:25:00,2003.0718,1974.85,2089.728
2025-04-07 18:30:00,1948.4889,1823.5666666666664,2019.1084
2025-04-07 18:35:00,1827.0393,1835.9,1923.0739
2025-04-07 18:40:00,1931.4021,1811.3,1927.238
2025-04-07 18:45:00,1793.5933,1861.6,1860.4156
2025-04-07 18:50:00,1745.497,1775.2,1802.9563
2025-04-07 18:55:00,2004.9722,1782.1,1903.9642
2025-04-07 19:00:00,1937.2511,1773.4,1920.6077
2025-04-07 19:05:00,2598.7336,1868.35,2259.6707
2025-04-07 19:10:00,1624.1547,1520.35,1941.9126
2025-04-07 19:15:00,1662.985,1662.65,1802.4487
2025-04-07 19:20:00,1571.1097,1489.7,1686.7793
2025-04-07 19:25:00,1453.8433,1545.7,1570.3113
2025-04-07 19:30:00,1424.1078,1475.4,1497.2095
2025-04-07 19:35:00,1427.7802,1469.0,1462.4949
2025-04-07 19:40:00,1437.316,1481.85,1449.9055
2025-04-07 19:45:00,1625.7084,1444.4,1537.8069
2025-04-07 19:50:00,1413.1971,1505.5,1475.502
